,date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
45000,"January 22, 2016",Ohio,Cincinnati,200 block of Craft Street,1,0,http://www.gunviolencearchive.org/incident/490541,http://www.wlwt.com/news/police-shooting-in-winton-hills/37563792
45001,"January 22, 2016",South Carolina,Columbia,4328 Fort Jackson Blvd,1,0,http://www.gunviolencearchive.org/incident/490573,https://www.facebook.com/columbiapd.net/photos/a.182579751779604.32971.182562865114626/936993469671558/?type=3&theater
45002,"January 22, 2016",Tennessee,Chattanooga,3000 block of Taylor St.,0,1,http://www.gunviolencearchive.org/incident/490785,http://newschannel9.com/news/local/shooting-in-chattanooga
45003,"January 22, 2016",Pennsylvania,Philadelphia,3000 block of North Eighth Street,0,2,http://www.gunviolencearchive.org/incident/490547,http://www.philly.com/philly/news/20160123_Two_men_shot_in_Fairhill.html
45004,"January 22, 2016",Kansas,Wichita,1500 block of N. Fairfield,0,0,http://www.gunviolencearchive.org/incident/491273,http://www.kake.com/home/headlines/Wichita-police-arrest-home-invasion-suspect-366239631.html
45005,"September 17, 2016",Tennessee,Memphis,South Parkway East,0,2,http://www.gunviolencearchive.org/incident/658266,http://www.wmcactionnews5.com/story/33121595/2-men-shot-inside-convenience-store
45006,"September 17, 2016",Texas,San Antonio,7490 Culebra Road,1,0,http://www.gunviolencearchive.org/incident/658115,http://www.kens5.com/news/local/five-people-arrested-in-connection-to-motel-murder/324292828
45007,"September 17, 2016",North Carolina,Greensboro,614 Franklin Boulevard,1,1,http://www.gunviolencearchive.org/incident/657524,http://myfox8.com/2018/05/29/2-charged-with-murder-in-2016-fatal-shooting-in-greensboro/
45008,"September 17, 2016",Louisiana,Marrero,1900 block of Odeon Street,0,0,http://www.gunviolencearchive.org/incident/658573,http://www.nola.com/crime/index.ssf/2016/09/suspect_chased_into_algiers_ca.html#incart_river_index
45009,"September 17, 2016",California,Arcata,3200 block of West End Road,0,0,http://www.gunviolencearchive.org/incident/658578,https://lostcoastoutpost.com/2016/sep/18/orleans-duo-arrested-crushed-norco-sale-possession/
45010,"September 17, 2016",California,Fresno,900 block of N. Van Ness Avenue,1,0,http://www.gunviolencearchive.org/incident/658137,http://www.fresnobee.com/news/local/crime/article102616082.html
45011,"September 17, 2016",Pennsylvania,Pittsburgh,Mount Vernon and Belmar streets,1,0,http://www.gunviolencearchive.org/incident/657711,http://www.bradfordera.com/news/state/nd-suspect-arrested-in-slaying-of-teen-girl-in-pittsburgh/article_d066d4c0-80ea-5d68-830d-ee38e163296a.html
45012,"September 17, 2016",North Carolina,Edenton,725 Martin Luther King Jr Avenue,1,0,http://www.gunviolencearchive.org/incident/657246,http://www.witn.com/content/news/Edenton-Police-Department--393822811.html
45013,"September 17, 2016",Louisiana,New Orleans,Hayne Boulevard and Pebble Drive,0,1,http://www.gunviolencearchive.org/incident/658595,http://www.nola.com/crime/index.ssf/2016/09/man_shot_in_new_orleans_east_w.html#incart_river_index
