,date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
30000,"November 11, 2019",New Mexico,Penasco,15066 NM-75,0,0,http://www.gunviolencearchive.org/incident/1547982,"https://www.taosnews.com/stories/peasco-robbery-trio-charged-in-federal-court,60868"
30001,"November 11, 2019",South Carolina,Greenwood,Taggart Ave,1,0,http://www.gunviolencearchive.org/incident/1547323,https://www.wyff4.com/article/woman-found-shot-on-taggart-ave-in-greenwood-death-investigation-underway-police-say/29765080
30002,"October 11, 2019",District of Columbia,Washington,Howard Rd SE and Shannon Pl SE,0,0,http://www.gunviolencearchive.org/incident/1525313,https://www.popville.com/2019/10/anonymous-tip-leads-to-arrest-of-man-with-gun-on-metro/
30003,"October 11, 2019",Maryland,Hyattsville (Adelphi),1836 Metzerott Rd,1,0,http://www.gunviolencearchive.org/incident/1525345,https://pgpolice.blogspot.com/2019/10/detectives-to-conduct-canvass-today.html
30004,"October 11, 2019",Montana,Thompson Falls,,0,1,http://www.gunviolencearchive.org/incident/1532667,https://missoulian.com/outdoors/sanders-county-woman-accidentally-shoots-daughter-while-hunting/article_075b7e76-377c-5735-870e-6650db31275f.html
30005,"October 11, 2019",District of Columbia,Washington,2300 block of Pennsylvania Ave SE,0,1,http://www.gunviolencearchive.org/incident/1525335,https://twitter.com/alanhenney/status/1182821497796288512
30006,"October 11, 2019",New Mexico,Lovington,1300 block of W Brian Urlacher,1,0,http://www.gunviolencearchive.org/incident/1833922,https://www.facebook.com/lovingtonleader/posts/3562914607099766
30007,"October 11, 2019",Ohio,Springfield,,0,0,http://www.gunviolencearchive.org/incident/1527299,https://www.springfieldnewssun.com/news/crime--law/springfield-accused-fatal-bar-shooting-arrested-for-having-loaded-gun-car/fsSkIwabMcvkmvA7dm5xsM/
30008,"October 11, 2019",Maryland,Baltimore,2600 block of E Monument St,0,0,http://www.gunviolencearchive.org/incident/1525824,https://www.facebook.com/BaltimoreCityPolice/posts/10156316912491956
30009,"October 11, 2019",Oklahoma,Kiowa,Staples Rd and E1390 Rd,1,0,http://www.gunviolencearchive.org/incident/1525599,https://www.mcalesternews.com/news/man-fatally-shot-by-deputy-identified/article_be858e4a-ec9c-11e9-b40c-c312185a0074.html
30010,"October 11, 2019",Wisconsin,Milwaukee,9900 block of W Fond du Lac Ave,1,0,http://www.gunviolencearchive.org/incident/1525129,https://www.fox6now.com/news/dont-disrespect-my-family-prosecutors-say-man-admitted-to-fatally-shooting-his-stepfather
30011,"October 11, 2019",Iowa,Waterloo,Glenny Ave,0,0,http://www.gunviolencearchive.org/incident/1525121,https://kwwl.com/news/top-stories/2019/10/11/two-facing-charges-in-waterloo-burglary-chase/
30012,"October 11, 2019",California,Perris,20000 block of Rider St,2,0,http://www.gunviolencearchive.org/incident/1526494,http://www.riversidesheriff.org/press/chu19-1011.asp
30013,"October 11, 2019",New Jersey,Palmyra,500 block of W 5th St,1,0,http://www.gunviolencearchive.org/incident/1525652,https://www.courierpostonline.com/story/news/2019/10/12/jonte-rice-willingboro-shot-dead-race-street-party-palmyra/3962256002/
30014,"October 11, 2019",Washington,Seattle,SW 120th St and 2nd Pl SW,0,1,http://www.gunviolencearchive.org/incident/1525695,https://q13fox.com/2019/10/11/man-in-serious-condition-after-being-shot-in-the-face-in-burien/
